stem,precision,recall,target_count,non_target_count,original_words
reluct,1.0,0.08695652173913043,2,0,"reluctance, reluctant"
co-financ,1.0,0.08695652173913043,2,0,co-financing
outreach,1.0,0.08695652173913043,2,0,outreach
eutroph,1.0,0.08695652173913043,2,0,eutrophication
uneven,1.0,0.08695652173913043,2,0,uneven
greener,1.0,0.08695652173913043,2,0,greener
lenient,1.0,0.08695652173913043,2,0,lenient
world-wid,1.0,0.08695652173913043,2,0,world-wide
cater,1.0,0.08695652173913043,2,0,"cater, catering"
erdf,1.0,0.08695652173913043,2,0,erdf
oversight,1.0,0.08695652173913043,2,0,oversight
bat,1.0,0.08695652173913043,2,0,bat
aquat,1.0,0.08695652173913043,2,0,aquatic
scaling-up,1.0,0.08695652173913043,2,0,scaling-up
twofold,1.0,0.08695652173913043,2,0,twofold
twice,1.0,0.08695652173913043,2,0,twice
diffus,1.0,0.08695652173913043,2,0,"diffuse, diffusion"
centralis,1.0,0.08695652173913043,2,0,centralised
confus,1.0,0.08695652173913043,2,0,confusing
natura,1.0,0.08695652173913043,2,0,natura
fork,1.0,0.08695652173913043,2,0,fork
urgently,1.0,0.08695652173913043,2,0,urgently
micro,1.0,0.08695652173913043,2,0,micro
charact,1.0,0.08695652173913043,2,0,character
eap,1.0,0.08695652173913043,2,0,eap
electronically,1.0,0.08695652173913043,2,0,electronically
pathwai,1.0,0.08695652173913043,2,0,"pathway, pathways"
abm,1.0,0.08695652173913043,2,0,abm
thessaloniki,1.0,0.08695652173913043,2,0,thessaloniki
toi,1.0,0.08695652173913043,2,0,"toy, toys"
prudent,1.0,0.08695652173913043,2,0,prudent
readmiss,1.0,0.08695652173913043,2,0,readmission
frequent,1.0,0.08695652173913043,2,0,frequent
unfccc,1.0,0.08695652173913043,2,0,unfccc
pict,1.0,0.08695652173913043,2,0,pict
expert-level,1.0,0.08695652173913043,2,0,expert-level
politically,1.0,0.08695652173913043,2,0,politically
vienna,1.0,0.08695652173913043,2,0,vienna
headquart,1.0,0.08695652173913043,2,0,headquarters
e-prtr,1.0,0.08695652173913043,2,0,e-prtr
pos,1.0,0.08695652173913043,2,0,posed
foresaw,1.0,0.08695652173913043,2,0,foresaw
re-us,1.0,0.08695652173913043,2,0,re-use
tomorrow,1.0,0.08695652173913043,2,0,tomorrow
facto,1.0,0.08695652173913043,2,0,facto
weapon,1.0,0.08695652173913043,2,0,weapons
prerog,1.0,0.08695652173913043,2,0,prerogative
qualify,1.0,0.08695652173913043,2,0,"qualify, qualifying"
ratify,1.0,0.08695652173913043,2,0,ratifying
stood,1.0,0.08695652173913043,2,0,stood
impetu,1.0,0.08695652173913043,2,0,impetus
gett,1.0,0.08695652173913043,2,0,getting
in-depth,1.0,0.08695652173913043,2,0,in-depth
solar,1.0,0.08695652173913043,2,0,solar
coalit,1.0,0.08695652173913043,2,0,coalition
abstract,1.0,0.08695652173913043,2,0,"abstraction, abstractions, abstracts"
peer,1.0,0.08695652173913043,2,0,"peer, peers"
rational,1.0,0.08695652173913043,2,0,rationale
underw,1.0,0.08695652173913043,2,0,underwent
island,1.0,0.08695652173913043,2,0,"island, islands"
xxx,1.0,0.08695652173913043,2,0,xxx
ill-treat,1.0,0.08695652173913043,2,0,ill-treatment
decai,1.0,0.08695652173913043,2,0,"decay, decays"
nee,1.0,0.08695652173913043,2,0,nee
decarbonis,1.0,0.08695652173913043,2,0,"decarbonisation, decarbonised"
visa-fre,1.0,0.08695652173913043,2,0,visa-free
stipulat,1.0,0.08695652173913043,2,0,stipulated
bad,1.0,0.08695652173913043,2,0,"bad, bads"
bioga,1.0,0.08695652173913043,2,0,biogas
maker,1.0,0.08695652173913043,2,0,makers
resource-intens,1.0,0.08695652173913043,2,0,resource-intensive
methan,1.0,0.08695652173913043,2,0,methane
openly,1.0,0.08695652173913043,2,0,openly
winn,1.0,0.08695652173913043,2,0,winning
recipi,1.0,0.08695652173913043,2,0,"recipient, recipients"
increment,1.0,0.08695652173913043,2,0,incremental
anthropogen,1.0,0.08695652173913043,2,0,anthropogenic
cip,1.0,0.08695652173913043,2,0,cip
public-sector,1.0,0.08695652173913043,2,0,public-sector
bath,1.0,0.08695652173913043,2,0,bathing
up-front,1.0,0.08695652173913043,2,0,up-front
sector-specif,1.0,0.08695652173913043,2,0,sector-specific
durability,1.0,0.08695652173913043,2,0,durability
imparti,1.0,0.08695652173913043,2,0,impartial
greatly,1.0,0.08695652173913043,2,0,greatly
desertif,1.0,0.08695652173913043,2,0,desertification
decoupl,1.0,0.08695652173913043,2,0,"decouple, decoupling"
inappropri,1.0,0.08695652173913043,2,0,inappropriate
devot,1.0,0.08695652173913043,2,0,"devoted, devoting"
illicit,1.0,0.08695652173913043,2,0,illicit
forestry,1.0,0.08695652173913043,2,0,forestry
sustainability,0.9230769230769231,0.5217391304347826,12,1,sustainability
barrier,0.9166666666666666,0.4782608695652174,11,1,"barrier, barriers"
explor,0.8888888888888888,0.34782608695652173,8,1,"exploration, explore, explored, exploring"
obstacl,0.8888888888888888,0.34782608695652173,8,1,"obstacle, obstacles"
diversity,0.875,0.30434782608695654,7,1,diversity
mass,0.875,0.30434782608695654,7,1,mass
pollut,0.875,0.30434782608695654,7,1,"pollutant, pollutants, polluting, pollution"
complex,0.875,0.30434782608695654,7,1,complex
environment,0.8695652173913043,0.8695652173913043,20,3,environmental
cohes,0.8571428571428571,0.2608695652173913,6,1,"cohesion, cohesive"
polic,0.8571428571428571,0.2608695652173913,6,1,"police, polices"
employ,0.8333333333333334,0.43478260869565216,10,2,"employers, employment"
domain,0.8333333333333334,0.21739130434782608,5,1,"domain, domains"
confid,0.8333333333333334,0.21739130434782608,5,1,confidence
tourism,0.8333333333333334,0.21739130434782608,5,1,tourism
visibility,0.8333333333333334,0.21739130434782608,5,1,visibility
cross-bord,0.8333333333333334,0.21739130434782608,5,1,cross-border
ngo,0.8333333333333334,0.21739130434782608,5,1,"ngo, ngos"
regulat,0.8333333333333334,0.21739130434782608,5,1,"regulated, regulating"
minimis,0.8333333333333334,0.21739130434782608,5,1,"minimise, minimised, minimising"
expans,0.8333333333333334,0.21739130434782608,5,1,"expansion, expansions"
hinder,0.8333333333333334,0.21739130434782608,5,1,"hinder, hindered, hindering, hinders"
sens,0.8333333333333334,0.21739130434782608,5,1,"sense, sensing"
accredit,0.8333333333333334,0.21739130434782608,5,1,"accreditation, accredited"
excel,0.8333333333333334,0.21739130434782608,5,1,"excellence, excellent"
voluntary,0.8333333333333334,0.21739130434782608,5,1,voluntary
corrupt,0.8333333333333334,0.21739130434782608,5,1,"corrupt, corruption"
idea,0.8333333333333334,0.21739130434782608,5,1,"idea, ideas"
separately,0.8333333333333334,0.21739130434782608,5,1,separately
discharg,0.8333333333333334,0.21739130434782608,5,1,"discharge, discharged, discharges, discharging"
past,0.8,0.5217391304347826,12,3,past
capit,0.8,0.5217391304347826,12,3,capital
societ,0.8,0.34782608695652173,8,2,societal
border,0.8,0.34782608695652173,8,2,"border, bordering, borders"
ownership,0.8,0.34782608695652173,8,2,ownership
fresh,0.8,0.17391304347826086,4,1,fresh
fiscal,0.8,0.17391304347826086,4,1,fiscal
stabilis,0.8,0.17391304347826086,4,1,"stabilisation, stabilising"
reus,0.8,0.17391304347826086,4,1,"reuse, reused, reusing"
pharmaceut,0.8,0.17391304347826086,4,1,"pharmaceutical, pharmaceuticals"
routin,0.8,0.17391304347826086,4,1,routine
sum,0.8,0.17391304347826086,4,1,"sum, sums"
circular,0.8,0.17391304347826086,4,1,circular
diversif,0.8,0.17391304347826086,4,1,diversification
cross-cutt,0.8,0.17391304347826086,4,1,cross-cutting
tangibl,0.8,0.17391304347826086,4,1,tangible
left,0.8,0.17391304347826086,4,1,left
distinct,0.8,0.17391304347826086,4,1,"distinct, distinction, distinctive"
diverg,0.8,0.17391304347826086,4,1,"divergence, divergences, divergent, diverging"
prosecut,0.8,0.17391304347826086,4,1,"prosecute, prosecution, prosecutions"
consolidat,0.8,0.17391304347826086,4,1,"consolidated, consolidating"
stream,0.8,0.17391304347826086,4,1,"stream, streaming, streams"
conduc,0.8,0.17391304347826086,4,1,conducive
crime,0.8,0.17391304347826086,4,1,"crime, crimes"
finalis,0.8,0.17391304347826086,4,1,"finalise, finalised"
modest,0.8,0.17391304347826086,4,1,modest
parliamentary,0.8,0.17391304347826086,4,1,parliamentary
extraordinary,0.8,0.17391304347826086,4,1,extraordinary
here,0.8,0.17391304347826086,4,1,here
gdp,0.8,0.17391304347826086,4,1,gdp
migrat,0.8,0.17391304347826086,4,1,migration
imped,0.8,0.17391304347826086,4,1,"impede, impeded, impeding"
climat,0.7894736842105263,0.6521739130434783,15,4,"climat, climate, climates, climatic"
threat,0.7777777777777778,0.30434782608695654,7,2,"threat, threats"
acqui,0.7777777777777778,0.30434782608695654,7,2,acquis
henc,0.7777777777777778,0.30434782608695654,7,2,hence
taxat,0.7777777777777778,0.30434782608695654,7,2,taxation
gradually,0.7777777777777778,0.30434782608695654,7,2,gradually
sme,0.7777777777777778,0.30434782608695654,7,2,"sme, smes"
attract,0.7692307692307693,0.43478260869565216,10,3,"attract, attracted, attracting, attraction, attractive, attractiveness"
engag,0.7692307692307693,0.43478260869565216,10,3,"engage, engaged, engagement, engaging"
wast,0.7692307692307693,0.43478260869565216,10,3,"waste, wasted, wastes"
efficiency,0.7647058823529411,0.5652173913043478,13,4,efficiency
global,0.7619047619047619,0.6956521739130435,16,5,global
decision-mak,0.75,0.391304347826087,9,3,"decision-makers, decision-making"
input,0.75,0.391304347826087,9,3,"input, inputs"
execut,0.75,0.391304347826087,9,3,"execute, executed, executes, execution, executions, executive"
horizon,0.75,0.391304347826087,9,3,"horizon, horizons"
converg,0.75,0.2608695652173913,6,2,"convergence, converging"
modern,0.75,0.2608695652173913,6,2,"modern, modernization"
track,0.75,0.2608695652173913,6,2,"track, tracked, tracking"
approxim,0.75,0.2608695652173913,6,2,approximation
seven,0.75,0.2608695652173913,6,2,seven
mutually,0.75,0.2608695652173913,6,2,mutually
realis,0.75,0.2608695652173913,6,2,"realisation, realise, realised"
debat,0.75,0.2608695652173913,6,2,"debate, debated, debates"
land,0.75,0.2608695652173913,6,2,"land, landing, lands"
driver,0.75,0.2608695652173913,6,2,"driver, drivers"
clean,0.75,0.2608695652173913,6,2,clean
nevertheless,0.75,0.2608695652173913,6,2,nevertheless
parallel,0.75,0.2608695652173913,6,2,"parallel, parallels"
announc,0.75,0.2608695652173913,6,2,"announced, announcement"
learn,0.75,0.2608695652173913,6,2,"learned, learning"
carbon,0.75,0.2608695652173913,6,2,carbon
sink,0.75,0.13043478260869565,3,1,"sink, sinks"
habitat,0.75,0.13043478260869565,3,1,"habitat, habitats"
sometim,0.75,0.13043478260869565,3,1,sometimes
declin,0.75,0.13043478260869565,3,1,"decline, declined, declining"
children,0.75,0.13043478260869565,3,1,children
fossil,0.75,0.13043478260869565,3,1,fossil
stringent,0.75,0.13043478260869565,3,1,stringent
judiciary,0.75,0.13043478260869565,3,1,judiciary
har,0.75,0.13043478260869565,3,1,"harness, harnessed, harnessing"
hamper,0.75,0.13043478260869565,3,1,"hamper, hampered, hampering"
commercialis,0.75,0.13043478260869565,3,1,"commercialisation, commercialise"
inspir,0.75,0.13043478260869565,3,1,"inspire, inspired"
blue,0.75,0.13043478260869565,3,1,blue
prescrib,0.75,0.13043478260869565,3,1,"prescribe, prescribed"
miss,0.75,0.13043478260869565,3,1,"miss, missed, missing"
reli,0.75,0.13043478260869565,3,1,"relied, relies"
vocat,0.75,0.13043478260869565,3,1,"vocation, vocational"
ventur,0.75,0.13043478260869565,3,1,"venture, ventures"
fisheri,0.75,0.13043478260869565,3,1,fisheries
min,0.75,0.13043478260869565,3,1,"min, mining"
entirely,0.75,0.13043478260869565,3,1,entirely
monei,0.75,0.13043478260869565,3,1,money
scrutiny,0.75,0.13043478260869565,3,1,scrutiny
prerequisit,0.75,0.13043478260869565,3,1,prerequisite
linkag,0.75,0.13043478260869565,3,1,linkages
judg,0.75,0.13043478260869565,3,1,"judged, judges"
inventori,0.75,0.13043478260869565,3,1,"inventoried, inventories"
launder,0.75,0.13043478260869565,3,1,laundering
motor,0.75,0.13043478260869565,3,1,"motor, motors"
municip,0.75,0.13043478260869565,3,1,"municipal, municipalities"
young,0.75,0.13043478260869565,3,1,young
car,0.75,0.13043478260869565,3,1,"car, cars"
verifi,0.75,0.13043478260869565,3,1,"verifiable, verified"
infring,0.75,0.13043478260869565,3,1,"infringe, infringement, infringements, infringing"
ban,0.75,0.13043478260869565,3,1,"ban, bans"
sav,0.75,0.13043478260869565,3,1,"saving, savings"
semest,0.75,0.13043478260869565,3,1,semester
entity,0.75,0.13043478260869565,3,1,entity
viability,0.75,0.13043478260869565,3,1,viability
iter,0.75,0.13043478260869565,3,1,"iter, iteration, iterations, iterative"
visa,0.75,0.13043478260869565,3,1,"visa, visas"
huge,0.75,0.13043478260869565,3,1,huge
inconsist,0.75,0.13043478260869565,3,1,"inconsistencies, inconsistent"
heavy,0.75,0.13043478260869565,3,1,heavy
conceiv,0.75,0.13043478260869565,3,1,conceived
elaborat,0.75,0.13043478260869565,3,1,"elaborated, elaborating"
quarter,0.75,0.13043478260869565,3,1,"quarter, quarters"
client,0.75,0.13043478260869565,3,1,"client, clients"
prolifer,0.75,0.13043478260869565,3,1,proliferation
recruit,0.75,0.13043478260869565,3,1,"recruit, recruitment"
amongst,0.75,0.13043478260869565,3,1,amongst
suffer,0.75,0.13043478260869565,3,1,"suffer, suffering, suffers"
privileg,0.75,0.13043478260869565,3,1,"privilege, privileged"
util,0.75,0.13043478260869565,3,1,"utilities, utilization"
restor,0.75,0.13043478260869565,3,1,"restoration, restore, restoring"
monetary,0.75,0.13043478260869565,3,1,monetary
distanc,0.75,0.13043478260869565,3,1,"distance, distances"
explicitly,0.75,0.13043478260869565,3,1,explicitly
socially,0.75,0.13043478260869565,3,1,socially
sixth,0.75,0.13043478260869565,3,1,sixth
wild,0.75,0.13043478260869565,3,1,wild
defenc,0.75,0.13043478260869565,3,1,defence
environ,0.7407407407407407,0.8695652173913043,20,7,"environment, environments"
health,0.7368421052631579,0.6086956521739131,14,5,health
infrastructur,0.7333333333333333,0.4782608695652174,11,4,"infrastructural, infrastructure, infrastructures"
fit,0.7272727272727273,0.34782608695652173,8,3,"fit, fitness"
streamlin,0.7272727272727273,0.34782608695652173,8,3,"streamline, streamlined, streamlining"
advantag,0.7272727272727273,0.34782608695652173,8,3,"advantage, advantages"
responsibility,0.7142857142857143,0.43478260869565216,10,4,responsibility
alia,0.7142857142857143,0.43478260869565216,10,4,alia
treati,0.7142857142857143,0.21739130434782608,5,2,treaties
pan-european,0.7142857142857143,0.21739130434782608,5,2,pan-european
solv,0.7142857142857143,0.21739130434782608,5,2,"solve, solved, solves, solving"
