stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
macroalga,9999.0,46,0,0.012595837897042717,0.0,macroalgae
ras,9999.0,46,0,0.012595837897042717,0.0,rasing
unfavourable-bad,9999.0,46,0,0.012595837897042717,0.0,unfavourable-bad
luminophor,9999.0,46,0,0.012595837897042717,0.0,luminophores
ionic-beam,9999.0,46,0,0.012595837897042717,0.0,ionic-beam
redii,9999.0,45,0,0.012322015334063527,0.0,redii
piledriv,9999.0,45,0,0.012322015334063527,0.0,piledrivers
marijuana,9999.0,45,0,0.012322015334063527,0.0,marijuana
phytobentho,9999.0,45,0,0.012322015334063527,0.0,phytobenthos
editor-in-chief,9999.0,45,0,0.012322015334063527,0.0,editor-in-chief
ballabio,9999.0,45,0,0.012322015334063527,0.0,ballabio
data-record,9999.0,45,0,0.012322015334063527,0.0,data-recording
over-abstract,9999.0,44,0,0.012048192771084338,0.0,"over-abstraction, over-abstractions"
same-sex,9999.0,44,0,0.012048192771084338,0.0,same-sex
biotop,9999.0,44,0,0.012048192771084338,0.0,"biotope, biotopes"
aaqd,9999.0,44,0,0.012048192771084338,0.0,aaqd
piezo-ignit,9999.0,44,0,0.012048192771084338,0.0,piezo-igniter
atrazin,9999.0,43,0,0.011774370208105149,0.0,"atrazin, atrazine"
retort,9999.0,43,0,0.011774370208105149,0.0,"retort, retorting, retorts"
osb,9999.0,43,0,0.011774370208105149,0.0,osb
unlaminat,9999.0,43,0,0.011774370208105149,0.0,unlaminated
re-naturalis,9999.0,43,0,0.011774370208105149,0.0,"re-naturalisation, re-naturalise, re-naturalised"
jewish,9999.0,43,0,0.011774370208105149,0.0,jewish
natalia,9999.0,42,0,0.011500547645125958,0.0,natalia
homopolymeris,9999.0,42,0,0.011500547645125958,0.0,homopolymerisation
xcii,9999.0,42,0,0.011500547645125958,0.0,xcii
rooftop,9999.0,42,0,0.011500547645125958,0.0,"rooftop, rooftops"
prtr,9999.0,42,0,0.011500547645125958,0.0,"prtr, prtrs"
patstat,9999.0,42,0,0.011500547645125958,0.0,patstat
upgradability,9999.0,42,0,0.011500547645125958,0.0,upgradability
mullit,9999.0,41,0,0.011226725082146768,0.0,mullite
electromobility,9999.0,41,0,0.011226725082146768,0.0,electromobility
post-visa,9999.0,41,0,0.011226725082146768,0.0,post-visa
gep,9999.0,41,0,0.011226725082146768,0.0,"gep, geps"
xcviii,9999.0,41,0,0.011226725082146768,0.0,xcviii
phosphid,9999.0,41,0,0.011226725082146768,0.0,"phosphide, phosphides"
cleantech,9999.0,41,0,0.011226725082146768,0.0,cleantech
luba,9999.0,41,0,0.011226725082146768,0.0,luba
dibromopropyl,9999.0,41,0,0.011226725082146768,0.0,dibromopropyl
food-farming-fisheri,9999.0,41,0,0.011226725082146768,0.0,food-farming-fisheries
dugong,9999.0,41,0,0.011226725082146768,0.0,"dugong, dugongs"
griller,9999.0,41,0,0.011226725082146768,0.0,grillers
rbsp,9999.0,41,0,0.011226725082146768,0.0,"rbsp, rbsps"
borid,9999.0,41,0,0.011226725082146768,0.0,"boride, borides"
shrink-resist,9999.0,41,0,0.011226725082146768,0.0,shrink-resistance
