stem,source,precision,recall,lift,original_words
bad,seed,1.0,0.08695652173913043,,"bad, bads"
bioga,seed,1.0,0.08695652173913043,,biogas
maker,seed,1.0,0.08695652173913043,,makers
resource-intens,seed,1.0,0.08695652173913043,,resource-intensive
methan,seed,1.0,0.08695652173913043,,methane
openly,seed,1.0,0.08695652173913043,,openly
winn,seed,1.0,0.08695652173913043,,winning
recipi,seed,1.0,0.08695652173913043,,"recipient, recipients"
increment,seed,1.0,0.08695652173913043,,incremental
anthropogen,seed,1.0,0.08695652173913043,,anthropogenic
cip,seed,1.0,0.08695652173913043,,cip
public-sector,seed,1.0,0.08695652173913043,,public-sector
bath,seed,1.0,0.08695652173913043,,bathing
up-front,seed,1.0,0.08695652173913043,,up-front
sector-specif,seed,1.0,0.08695652173913043,,sector-specific
durability,seed,1.0,0.08695652173913043,,durability
imparti,seed,1.0,0.08695652173913043,,impartial
greatly,seed,1.0,0.08695652173913043,,greatly
desertif,seed,1.0,0.08695652173913043,,desertification
decoupl,seed,1.0,0.08695652173913043,,"decouple, decoupling"
inappropri,seed,1.0,0.08695652173913043,,inappropriate
devot,seed,1.0,0.08695652173913043,,"devoted, devoting"
illicit,seed,1.0,0.08695652173913043,,illicit
forestry,seed,1.0,0.08695652173913043,,forestry
sustainability,seed,0.9230769230769231,0.5217391304347826,,sustainability
barrier,seed,0.9166666666666666,0.4782608695652174,,"barrier, barriers"
explor,seed,0.8888888888888888,0.34782608695652173,,"exploration, explore, explored, exploring"
obstacl,seed,0.8888888888888888,0.34782608695652173,,"obstacle, obstacles"
diversity,seed,0.875,0.30434782608695654,,diversity
mass,seed,0.875,0.30434782608695654,,mass
pollut,seed,0.875,0.30434782608695654,,"pollutant, pollutants, polluting, pollution"
complex,seed,0.875,0.30434782608695654,,complex
environment,seed,0.8695652173913043,0.8695652173913043,,environmental
cohes,seed,0.8571428571428571,0.2608695652173913,,"cohesion, cohesive"
polic,seed,0.8571428571428571,0.2608695652173913,,"police, polices"
employ,seed,0.8333333333333334,0.43478260869565216,,"employers, employment"
domain,seed,0.8333333333333334,0.21739130434782608,,"domain, domains"
confid,seed,0.8333333333333334,0.21739130434782608,,confidence
tourism,seed,0.8333333333333334,0.21739130434782608,,tourism
visibility,seed,0.8333333333333334,0.21739130434782608,,visibility
cross-bord,seed,0.8333333333333334,0.21739130434782608,,cross-border
ngo,seed,0.8333333333333334,0.21739130434782608,,"ngo, ngos"
regulat,seed,0.8333333333333334,0.21739130434782608,,"regulated, regulating"
minimis,seed,0.8333333333333334,0.21739130434782608,,"minimise, minimised, minimising"
expans,seed,0.8333333333333334,0.21739130434782608,,"expansion, expansions"
hinder,seed,0.8333333333333334,0.21739130434782608,,"hinder, hindered, hindering, hinders"
sens,seed,0.8333333333333334,0.21739130434782608,,"sense, sensing"
accredit,seed,0.8333333333333334,0.21739130434782608,,"accreditation, accredited"
excel,seed,0.8333333333333334,0.21739130434782608,,"excellence, excellent"
voluntary,seed,0.8333333333333334,0.21739130434782608,,voluntary
corrupt,seed,0.8333333333333334,0.21739130434782608,,"corrupt, corruption"
idea,seed,0.8333333333333334,0.21739130434782608,,"idea, ideas"
separately,seed,0.8333333333333334,0.21739130434782608,,separately
discharg,seed,0.8333333333333334,0.21739130434782608,,"discharge, discharged, discharges, discharging"
past,seed,0.8,0.5217391304347826,,past
capit,seed,0.8,0.5217391304347826,,capital
societ,seed,0.8,0.34782608695652173,,societal
border,seed,0.8,0.34782608695652173,,"border, bordering, borders"
ownership,seed,0.8,0.34782608695652173,,ownership
fresh,seed,0.8,0.17391304347826086,,fresh
fiscal,seed,0.8,0.17391304347826086,,fiscal
stabilis,seed,0.8,0.17391304347826086,,"stabilisation, stabilising"
reus,seed,0.8,0.17391304347826086,,"reuse, reused, reusing"
pharmaceut,seed,0.8,0.17391304347826086,,"pharmaceutical, pharmaceuticals"
routin,seed,0.8,0.17391304347826086,,routine
sum,seed,0.8,0.17391304347826086,,"sum, sums"
circular,seed,0.8,0.17391304347826086,,circular
diversif,seed,0.8,0.17391304347826086,,diversification
cross-cutt,seed,0.8,0.17391304347826086,,cross-cutting
tangibl,seed,0.8,0.17391304347826086,,tangible
left,seed,0.8,0.17391304347826086,,left
distinct,seed,0.8,0.17391304347826086,,"distinct, distinction, distinctive"
diverg,seed,0.8,0.17391304347826086,,"divergence, divergences, divergent, diverging"
prosecut,seed,0.8,0.17391304347826086,,"prosecute, prosecution, prosecutions"
consolidat,seed,0.8,0.17391304347826086,,"consolidated, consolidating"
stream,seed,0.8,0.17391304347826086,,"stream, streaming, streams"
conduc,seed,0.8,0.17391304347826086,,conducive
crime,seed,0.8,0.17391304347826086,,"crime, crimes"
finalis,seed,0.8,0.17391304347826086,,"finalise, finalised"
modest,seed,0.8,0.17391304347826086,,modest
parliamentary,seed,0.8,0.17391304347826086,,parliamentary
extraordinary,seed,0.8,0.17391304347826086,,extraordinary
here,seed,0.8,0.17391304347826086,,here
gdp,seed,0.8,0.17391304347826086,,gdp
migrat,seed,0.8,0.17391304347826086,,migration
imped,seed,0.8,0.17391304347826086,,"impede, impeded, impeding"
climat,seed,0.7894736842105263,0.6521739130434783,,"climat, climate, climates, climatic"
threat,seed,0.7777777777777778,0.30434782608695654,,"threat, threats"
acqui,seed,0.7777777777777778,0.30434782608695654,,acquis
henc,seed,0.7777777777777778,0.30434782608695654,,hence
taxat,seed,0.7777777777777778,0.30434782608695654,,taxation
gradually,seed,0.7777777777777778,0.30434782608695654,,gradually
sme,seed,0.7777777777777778,0.30434782608695654,,"sme, smes"
attract,seed,0.7692307692307693,0.43478260869565216,,"attract, attracted, attracting, attraction, attractive, attractiveness"
engag,seed,0.7692307692307693,0.43478260869565216,,"engage, engaged, engagement, engaging"
wast,seed,0.7692307692307693,0.43478260869565216,,"waste, wasted, wastes"
efficiency,seed,0.7647058823529411,0.5652173913043478,,efficiency
global,seed,0.7619047619047619,0.6956521739130435,,global
decision-mak,seed,0.75,0.391304347826087,,"decision-makers, decision-making"
input,seed,0.75,0.391304347826087,,"input, inputs"
execut,seed,0.75,0.391304347826087,,"execute, executed, executes, execution, executions, executive"
horizon,seed,0.75,0.391304347826087,,"horizon, horizons"
