stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
compressibility,9999.0,57,0,0.012015177065767284,0.0,compressibility
istock,9999.0,57,0,0.012015177065767284,0.0,istock
symbiosi,9999.0,57,0,0.012015177065767284,0.0,symbiosis
tenancy,9999.0,57,0,0.012015177065767284,0.0,tenancy
fritschi,9999.0,57,0,0.012015177065767284,0.0,fritschi
insult,9999.0,57,0,0.012015177065767284,0.0,"insult, insulted, insulting, insults"
kephalopoulo,9999.0,57,0,0.012015177065767284,0.0,kephalopoulos
telefer,9999.0,57,0,0.012015177065767284,0.0,teleferics
copolyest,9999.0,57,0,0.012015177065767284,0.0,copolyester
eulex,9999.0,56,0,0.011804384485666104,0.0,eulex
schwela,9999.0,56,0,0.011804384485666104,0.0,schwela
pile-extractor,9999.0,56,0,0.011804384485666104,0.0,pile-extractors
de-politicis,9999.0,56,0,0.011804384485666104,0.0,"de-politicisation, de-politicise, de-politicised, de-politicising"
fingerl,9999.0,56,0,0.011804384485666104,0.0,fingerlings
ission,9999.0,56,0,0.011804384485666104,0.0,"ission, issions"
decarbon,9999.0,55,0,0.011593591905564924,0.0,"decarbonation, decarbonization, decarbonize"
back-offic,9999.0,55,0,0.011593591905564924,0.0,"back-office, back-offices"
espir,9999.0,55,0,0.011593591905564924,0.0,espirs
tsiami,9999.0,55,0,0.011593591905564924,0.0,tsiamis
ieep,9999.0,55,0,0.011593591905564924,0.0,ieep
yll,9999.0,55,0,0.011593591905564924,0.0,yll
climatebond,9999.0,54,0,0.011382799325463743,0.0,climatebonds
bi-region,9999.0,54,0,0.011382799325463743,0.0,bi-regional
deriu,9999.0,54,0,0.011382799325463743,0.0,deriu
gervasini,9999.0,54,0,0.011382799325463743,0.0,gervasini
nbsap,9999.0,54,0,0.011382799325463743,0.0,"nbsap, nbsaps"
atni,9999.0,54,0,0.011382799325463743,0.0,atni
ict-bas,9999.0,54,0,0.011382799325463743,0.0,ict-based
riven,9999.0,53,0,0.011172006745362563,0.0,riven
quintil,9999.0,53,0,0.011172006745362563,0.0,"quintile, quintiles, quintillion"
merceriz,9999.0,53,0,0.011172006745362563,0.0,"mercerized, mercerizing"
